,store,sido-gu,park,address,phone
26,용산삼각지,서울,[],"서울 용산구 한강로2가 426 용산트리스퀘어 101동 104호, 105호(용산구 백범로 99길 40)",02.794.8497
27,대구가톨릭대로 DI,대구,[],대구 남구 두류공원로 64,053.621.3269
28,광주쌍촌,광주,[],"광주광역시 서구 상일로 58 1층,2층",062.371.8497
29,대전원내,대전,[],대전 유성구 진잠로92번길 85,042.544.8497
30,울산남구무궁화점,울산,[],울산광역시 남구 왕생로 146(달동),02.256.8498
31,한마음국제의료원점,경상남도,[],"경상남도 창원시 의창구 용동로 57번길 8, 1층",055.275.3535
32,해운대중동점,부산,[],"부산광역시 해운대구 좌동로 47, 1층",051.746.7617
33,청주시실리점,충청북도,[],충북 청주시 흥덕구 강내면 가로수로 480,043.238.3388
34,광양중마점,전라남도,[],전라남도 광양시 시청로 62 101동 111호 e편한세상,061.791.8082
35,성신여대점,서울,[],서울시 성북구 동소문로 115-1,02.929.7067
36,수원시청역점,경기도,[],경기도 수원시 팔달구 인계로 166번길 48-21,031.233.5400
37,원주터미널점,강원도,[],"강원도 원주시 서원대로 165-1, 1층(단계동)",033.731.5798
38,용인(인천)휴게소 상행점,경기도,[],경기도 용인시 처인구 고림동 81-2(주북로 94번길 66-14),031.339.3660
39,용인(강릉)휴게소 하행점,경기도,[],경기도 용인시 처인구 고림동 12-6(주북로 94번길 30-1),031.339.3663
40,북대전점,대전,[],"대전 유성구 대덕대로 1097 (송강동 141-2, 1,2층)",042.934.8597
41,목포 옥암법원점,전라남도,[],전라남도 목포시 정의로 10,061.282.8497
42,광주매곡점,광주,[],광주광역시 북구 서하로 79,062.575.2292
43,부산당감점,부산,[],"부산 부산진구 동평로 83, 1층",051.892.8497
44,진영(부산) 휴게소점,경상남도,[],경남 김해시 진영읍 하계로 96번길 94-4 진영(부산)휴게소,055.334.8700
45,성산포수협,제주도,[],제주 서귀포시 성산읍 성산등용로 91,064.782.3169
46,제주한림점,제주도,[],제주도 제주시 한림읍 한림남1길 3,064.796.4557
47,장안사거리점,서울,[],"서울시 동대문구 장한로 130, 1층",02.3394.8497
48,울산무궁화점,울산,[],울산광역시 남구 돋질로 359,052.227.8498
49,김천교동 D/T,경상북도,[],"경상북도 김천시 대학로 75, 나동 1-2층(교동)",054.435.8497
50,인천아암대로D/T,인천,[],"인천 연수구 비류대로 11, 2동",032.831.8497
51,대전송촌점,대전,[],"대전시 대덕구 계족산로 81번길 101, 1층(송촌동)",042.632.8497
52,청주죽림 D/I,충청북도,[],충청북도 청주시 서원구 대림로 427 1층,043.231.8497
53,대전카이스트점,대전,[],대전 유성구 대학로 291,042.863.8497
54,부산개금백뱅원점,부산,[],"부산 부산진구 엄광로 37 1, 2층",051.897.8497
55,마산역 D/I,경상남도,[],"경남 창원시 마산회원구 3.15대로 703, 1층(석전동)",055.253.1717
56,광주문흥점,광주,[],광주시 북구 서하로 353-1,062.262.8497
57,신사역점,서울,[],"서울시 서초구 강남대로 101길 7, 지하1층, 지상1층(잠원동, 루미에르신사)",070.4282.5757
58,계양구청점,인천,[],인천 계양구 오조산로57번길 11,032.543.4343
59,평택 힐스테이트점,경기도,[],경기 평택시 세교동 10-1 디오네프라자 1층,031.656.8088
60,전주 김제 모다아울렛점,전라북도,[],전라북도 김제시 용지면 부교리 44-1번지,063.540.9410
61,안산성포점,경기도,[],경기도 안산시 상록구 성포동 587-1 드림빌딩 2층,031.401.8497
62,대구 남산역점,대구,[],대구시 남구 명덕로 116 1층,053.626.8497
63,부산 가덕도점,부산,[],부산시 강서구 가덕해안로 612,051.941.8497
64,유성온천역점,대전,[],대전광역시 유성구 계룡로 92,042.826.8498
65,안산중앙점,경기도,[],"경기도 안산시 단원구 고잔로 88 , 지스타 105,106호",031.405.8497
66,경인교대역점,인천,[],인천 계양구 계산천동로1,032.541.4040
67,해남군청점,전라남도,[],"전란남도 해남군 해남읍 북부순환로 112, 동우빌딩 1,2층",070.4369.8497
68,구의강변점,서울,[],"서울시 광진구 구의강변로 93, 경복빌딩 1층",02.454.8497
69,기쁨병원점,서울,[],"서울시 서초구 서초중앙로 4 ,1층",02.570.1210
70,서귀포일호광장점,제주도,[],제주 서귀포시 서문로 1(서귀동),064.732.0007
71,인천운서점,인천,[],인천 중구 백년로 128번길 21 스카이프라자 1층,032.752.8497
72,광안비치점,부산,[],"부산 수영구 광안해변로 165 광안지웰에스테이트 1,2F",051.757.8497
73,대구라온제나점,대구,[],"대구광역시 수성구 범어천로 13 1층 102,103호",053.767.8497
74,행담도휴게소,충청남도,[],충남 당진시 신평면 서해안고속도로 275,02..
75,청주테크노폴리스,충청북도,[],"충북 청주시 흥덕구 송화로 166번길 20, 1층",043.277.8497
76,트윈시티 남산,서울,[],서울시 용산구 한강대로 366 1층,02.3789.4534
77,일산 D/I,경기도,[],경기도 고양시 일산서구 일산로 646,031.911.8497
78,부산화명새마을금고,부산,[],부산시 북구 금곡대로 303번길 36,051.363.8497
79,제주봉개 D/I,제주도,[],"제주 제주시 번영로 430, 1층",064.727.8497
80,대구 반월당제네스점,대구,[],"대구광역시 중구 중앙대로 312 반월당아너스제네스타워109호,207호,208호",053.254.8497
81,김천휴게소(하),경상북도,[],경북 김천시 농소면 경부고속도로 김천(부산)휴게소,054.435.0211
82,김천휴게소(상),경상북도,[],경북 김천시 농소면 경부고속도로 김천(서울)휴게소,054.433.1523
83,충남태안점,충청남도,[],"충남 태안군 태안읍 중앙로 152, 1층 파스쿠찌 (동문리 259-2)",041.672.8497
84,동해해안도로 D/I,강원도,[],"강원도 동해시 해안로 374,1층",033.534.2746
85,김해진영점,경상남도,[],경남 김해시 진영읍 김해대로 361번길 9,070.4032.8497
86,대구용산점,대구,[],"대구시 달서구 용산로 231 1,2층",053.523.8497
87,수성구청역,대구,[],"대구시 수성구 달구벌대로 2485, 1층",053.744.8497
88,서김해점,경상남도,[],경상남도 김해시 풍유동 66-1번지,055.323.8497
89,신기사거리점,인천,[],"인천 미추홀구 미추홀대로 594 1동, 1층(주안동,동경프라자)",032.832.9911
